mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,measurement_sd,reference_sd
0,0.13180109963003583,0.12041609030342992,0.03567745609508335,0.02149546476585079,0.12131065982982232,0.060084134212335036
1,0.5527291245772513,0.06254958860364307,0.02328266272217789,0.023214121411353497,0.07874005330445243,0.09997594519717021
2,0.050803288336273414,0.471278315624569,0.049417336845828025,0.013203560378698562,0.4621296793760339,0.12121573515214693
3,0.7712045143745538,0.08217425718289212,-0.012812023228943882,-0.010458874312044092,0.16690159538879495,0.15844854788716517
4,0.8588242166505444,0.06808112024184415,-0.037649400339016786,-0.0379386010689734,0.14601314153825468,0.13274689439563267
5,0.38286942112181954,0.11321312377079887,-0.02768870853696527,-0.030392337200934705,0.13522834235993042,0.11400707492914237
6,0.5874344527913472,0.050949342156454185,-0.020628338086179983,-0.021235014381884687,0.06627710923291433,0.07100003504223168
7,0.4554871544048797,0.059880954829621316,-0.007479145176559843,-0.010108533700048349,0.07888632622602208,0.06565965445614848
8,0.3109313311343417,0.05686594017525433,0.013026941839498658,0.009545378335262242,0.06602812484584983,0.04074769811100048
9,0.48190954949424936,0.059399749297398205,0.005889310649241469,0.00677293196994963,0.10585713855854845,0.07328019946982296
10,0.36231549210646347,0.18938339790754408,-0.0078589987641869,-0.004978374141351494,0.22252191316601888,0.17130274840576262
11,0.10237075199835816,0.09535226482881375,0.01189478560467313,0.005122826098417771,0.09472503980745381,0.05941826040516502
12,0.38246524076433497,0.06861739813767113,0.01521197818077117,0.016277437982681692,0.08162379365528367,0.061551802496856496
13,0.47930462134012225,0.07722174257952381,0.0202646651819158,0.01458943446527719,0.09716608855903043,0.09409195693515593
14,0.712159594595102,0.06550791227431046,-0.008410107032208649,-0.009932456699227987,0.12417643497873143,0.11077368051177176
15,0.6727620257336528,0.11600757512287524,-0.03038569056244029,-0.02319721951811629,0.174711137958694,0.1896618288807501
16,0.6659021138354495,0.0761034969978043,-0.031770360671110956,-0.02894286868596334,0.10156064861454019,0.11928934708363675
17,0.7664334129552528,0.07118716108897055,-0.034229523619648594,-0.03030689273802631,0.11734558753745263,0.128155855605195
18,0.680187615715333,0.045227621515142764,-0.021916168141342784,-0.026791697986436908,0.07138649209430513,0.06192841348341509
19,0.65841525775188,0.05543889039109616,-0.019853062161800092,-0.02327017273840759,0.07568295810783365,0.08233719257821413
20,NA,NA,NA,NA,0.08935841479482674,NA
21,NA,NA,NA,NA,0.05855395747790506,NA
22,NA,NA,NA,NA,0.06482870394986417,NA
23,NA,NA,NA,NA,0.11667270384176535,NA
24,NA,NA,NA,NA,0.09884710916073233,NA
25,NA,NA,NA,NA,0.10442817386243312,NA
26,NA,NA,NA,NA,0.09119554439846751,NA
27,NA,NA,NA,NA,0.16095372497923097,NA
28,NA,NA,NA,NA,0.140474249189677,NA
29,NA,NA,NA,NA,0.08117867965888662,NA
30,NA,NA,NA,NA,0.09651955710238155,NA
31,NA,NA,NA,NA,0.12718667216621665,NA
32,NA,NA,NA,NA,0.05235311571820347,NA
33,NA,NA,NA,NA,0.05175112071104522,NA
