"date","co_quantaq_dpw","co_quantaq_pema","co_quantaq_pha","co_beaco2n_dpw","co_beaco2n_pema","co_beaco2n_pha","residual"
2025-01-16 11:00:00,0.875195,1.010715,0.899528,NA,0.307735502070156,0.144783174709887,0.754744825290113
2025-01-16 12:00:00,0.921006,1.238887,1.019616,NA,0.545682502309139,0.241537732562256,0.778078267437744
2025-01-16 13:00:00,0.990386,1.044005,0.954061,NA,0.385441539114457,0.247446430392751,0.706614569607249
2025-01-16 14:00:00,0.861111,0.950392,0.809699,NA,0.278418414517828,0.136124748897776,0.673574251102224
2025-01-16 15:00:00,0.805203,0.875036,0.780294,NA,0.20136256609514,0.107237161609258,0.673056838390742
2025-01-16 16:00:00,0.825418,0.791024,0.749682,NA,0.131567674964049,0.100067708325669,0.64961429167433
2025-01-16 17:00:00,0.767755,0.779883,0.758033,NA,0.123471205532216,0.0920429643366823,0.665990035663318
2025-01-16 18:00:00,0.770235,0.774515,0.739743,NA,0.12398633315034,0.0912727034156045,0.648470296584396
2025-01-16 19:00:00,0.772171,0.786772,0.769245,NA,0.132247775164382,0.106362397517926,0.662882602482074
2025-01-16 20:00:00,0.77926,0.812076,0.834888,NA,0.152465391101306,0.13819252745491,0.69669547254509
2025-01-16 21:00:00,0.811191,0.83293,0.81457,NA,0.168417149437766,0.12527624716552,0.68929375283448
2025-01-16 22:00:00,0.87262,0.882815,0.900431,NA,0.212004515347092,0.179448304210777,0.720982695789223
2025-01-16 23:00:00,0.88561,0.881853,0.91004,NA,0.214642525076135,0.191585522406617,0.718454477593383
2025-01-17,0.78846,0.852361,0.838118,NA,0.190959778529687,0.145132763815636,0.692985236184364
2025-01-17 01:00:00,0.812392,0.849649,0.827479,NA,0.193434970170883,0.142207743181346,0.685271256818653
2025-01-17 02:00:00,0.795288,0.85543,0.805185,NA,0.193634837071009,0.122463299220499,0.682721700779501
2025-01-17 03:00:00,0.803744,0.842218,0.813502,NA,0.180365840246881,0.130151901278423,0.683350098721577
2025-01-17 04:00:00,0.80151,0.834355,0.83851,NA,0.175434546487955,0.146958439843461,0.691551560156539
2025-01-17 05:00:00,0.802999,0.867144,0.820736,NA,0.206480572805851,0.133399946199786,0.687336053800214
2025-01-17 06:00:00,0.810631,0.960222,0.825954,NA,0.287924886037253,0.138650235976771,0.687303764023229
2025-01-17 07:00:00,0.822567,0.990593,0.83752,NA,0.31217916525467,0.139924643968575,0.697595356031425
2025-01-17 08:00:00,0.837131,0.856006,0.839204,NA,0.192534344689048,0.137022646247701,0.702181353752299
2025-01-17 09:00:00,0.834868,0.930561,0.849744,NA,0.255838177436759,0.141651302412634,0.708092697587366
2025-01-17 10:00:00,0.85767,0.9482,0.853842,NA,0.266114879921571,0.139917305825043,0.713924694174957
2025-01-17 11:00:00,0.866996,0.972966,0.846218,NA,0.291477900757034,0.131886578957655,0.714331421042345
2025-01-17 12:00:00,0.887522,1.051639,0.895096,NA,0.369035386561704,0.179065226230111,0.716030773769889
2025-01-17 13:00:00,0.896598,1.004618,0.866466,NA,0.346924490387719,0.191798822728742,0.674667177271257
2025-01-17 14:00:00,0.856956,0.93598,0.817563,NA,0.268936643640813,0.140720829761207,0.676842170238793
2025-01-17 15:00:00,0.825739,0.859909,0.825503,NA,0.192929261987114,0.148314086300809,0.677188913699191
2025-01-17 16:00:00,0.825202,0.879279,0.792967,NA,0.210814262551102,0.126944808316718,0.666022191683282
2025-01-17 17:00:00,0.771418,0.845966,0.800892,NA,0.187861115846388,0.142173162174739,0.658718837825261
2025-01-17 18:00:00,0.776803,0.877934,0.788826,NA,0.21842768476314,0.129095213246731,0.659730786753269
2025-01-17 19:00:00,0.784619,0.859793,0.76369,NA,0.204578579144227,0.122374263218986,0.641315736781014
2025-01-17 20:00:00,0.793596,0.902746,0.780072,NA,0.242662248719818,0.141128186757215,0.638943813242785
2025-01-17 21:00:00,0.822857,0.914544,0.864027,NA,0.259781960268983,0.186049239921486,0.677977760078514
2025-01-17 22:00:00,0.987601,1.135229,1.149564,NA,0.44769806378603,0.361206457390399,0.788357542609601
2025-01-18 11:00:00,1.10944,1.117796,1.158998,NA,0.48541269706722,0.368400734441542,0.790597265558458
2025-01-18 12:00:00,0.998145,1.094038,1.176642,NA,0.459787167022992,0.383846399631891,0.792795600368109
2025-01-18 13:00:00,0.994911,1.082352,1.080241,NA,0.461695976742146,0.342531079690989,0.737709920309011
2025-01-18 14:00:00,0.873553,0.938388,1.025579,NA,0.312752552330708,0.290552149047056,0.735026850952944
2025-01-18 15:00:00,0.867311,0.865413,0.891107,NA,0.253027927251091,0.208279802828484,0.682827197171516
2025-01-18 16:00:00,0.817754,0.812226,0.780592,NA,0.206533791002569,0.141974088960648,0.638617911039352
2025-01-18 17:00:00,0.758784,0.752114,0.731685,NA,0.155419640909575,0.111973093266771,0.619711906733229
2025-01-18 18:00:00,0.770309,0.764512,0.738832,NA,0.163915209448894,0.123216449344205,0.615615550655795
2025-01-18 19:00:00,0.869201,0.779748,0.754071,NA,0.174887235889037,0.135704789914649,0.618366210085351
2025-01-18 20:00:00,0.909711,0.782441,0.815146,NA,0.180254207701689,0.181393127742112,0.633752872257888
2025-01-18 21:00:00,0.717101,0.841997,0.931736,NA,0.231205477865775,0.254834010760115,0.676901989239885
2025-01-18 22:00:00,0.735795,0.828458,0.923739,NA,0.21472955582613,0.246516131070387,0.677222868929613
2025-01-18 23:00:00,0.768354,0.818904,0.87488,NA,0.208127820325026,0.221616144505729,0.653263855494271
2025-01-19,0.89169,0.905637,0.937762,NA,0.284216152915668,0.265132668367614,0.672629331632386
2025-01-19 02:00:00,0.815739,1.01626,1.140447,NA,0.371654025547551,0.384475622502409,0.755971377497591
2025-01-19 03:00:00,0.820529,1.021384,0.927338,NA,0.377786615488044,0.255849367047722,0.671488632952278
2025-01-19 04:00:00,0.825468,0.958548,0.795982,NA,0.324038431777892,0.168875973868791,0.627106026131209
2025-01-19 05:00:00,0.760522,0.817933,0.720602,NA,0.204019745001541,0.116952554714456,0.603649445285544
2025-01-19 06:00:00,0.740285,0.861549,0.737559,NA,0.236678798512992,0.1281874223979,0.6093715776021
2025-01-19 07:00:00,0.807378,1.179497,0.808924,NA,0.482923605808541,0.166639287051906,0.642284712948094
2025-01-19 08:00:00,0.87317,1.227709,0.865292,NA,0.553261976557015,0.198151690092557,0.667140309907443
2025-01-19 09:00:00,0.89178,1.26242,0.989233,NA,0.573996560369017,0.277562930562456,0.711670069437544
2025-01-19 10:00:00,0.89909,1.179705,0.947295,NA,0.52301872259255,0.250795749642735,0.696499250357265
2025-01-19 11:00:00,0.851011,NA,1.172096,NA,NA,0.391514877878826,0.780581122121174
2025-01-19 13:00:00,0.86707,1.116971,1.019074,NA,0.452706836899721,0.33197369345451,0.68710030654549
2025-01-19 14:00:00,0.817315,0.956499,0.865172,NA,0.281501815101577,0.184545556219627,0.680626443780373
2025-01-19 15:00:00,0.776006,0.936724,0.770034,NA,0.270899662165477,0.135712895873682,0.634321104126318
2025-01-19 16:00:00,0.716803,0.830088,0.762972,NA,0.192951033290171,0.130896864172124,0.632075135827876
2025-01-19 17:00:00,0.702888,0.785802,0.746625,NA,0.163486904586868,0.120763848033694,0.625861151966306
2025-01-19 18:00:00,0.709184,0.782042,0.793829,NA,0.166512760871137,0.159250780670494,0.634578219329506
2025-01-19 19:00:00,0.715589,0.79671,0.814373,NA,0.173869929460258,0.168617679905259,0.645755320094741
2025-01-19 20:00:00,0.733977,0.810455,0.830109,NA,0.183715432003498,0.178454953689831,0.651654046310169
2025-01-19 21:00:00,0.737019,0.811419,0.825067,NA,0.187009370715306,0.174860023766099,0.650206976233901
2025-01-19 22:00:00,0.716924,0.793533,0.795871,NA,0.171752343155091,0.157695704407289,0.638175295592711
2025-01-19 23:00:00,0.717495,0.792464,0.777354,NA,0.172328585716799,0.146514547875286,0.630839452124714
2025-01-20,0.730584,0.83586,0.795681,NA,0.209024581908081,0.154263538727163,0.641417461272837
2025-01-20 01:00:00,0.72676,0.787025,0.751757,NA,0.159423367440786,0.112015345523555,0.639741654476445
2025-01-20 02:00:00,0.704916,0.790367,0.72692,NA,0.164117788242994,0.0949000788128098,0.63201992118719
2025-01-20 03:00:00,0.711203,0.794927,0.719347,NA,0.163228847074683,0.0885648420665114,0.630782157933489
2025-01-20 04:00:00,0.697437,0.784596,0.717372,NA,0.15181546861135,0.0805616446244695,0.636810355375531
2025-01-20 05:00:00,0.713412,0.825792,0.706366,NA,0.181343176639992,0.0684763982831904,0.63788960171681
2025-01-20 06:00:00,0.702043,0.860002,0.714236,NA,0.207690535865242,0.0716104154270234,0.642625584572977
2025-01-20 07:00:00,0.696313,0.814269,0.709372,NA,0.152206345547469,0.0549581241591604,0.65441387584084
2025-01-20 08:00:00,0.693977,0.815483,0.708877,NA,0.147576812221831,0.0447483613318278,0.664128638668172
2025-01-20 09:00:00,0.692274,0.820359,0.71251,NA,0.147612366366445,0.0370336682252069,0.675476331774793
2025-01-20 10:00:00,0.697859,0.867542,0.712546,NA,0.186030235746993,0.0327148009020588,0.679831199097941
2025-01-20 11:00:00,0.719957,0.82731,0.736746,NA,0.136264028992001,0.035597148836483,0.701148851163517
2025-01-20 12:00:00,0.737845,0.837242,0.748815,NA,0.153297956212246,0.0605972079733198,0.68821779202668
2025-01-20 13:00:00,0.754457,0.863143,0.764569,NA,0.194580225873366,0.102014172710059,0.662554827289941
2025-01-20 14:00:00,0.758243,0.856348,0.749419,NA,0.177270434678751,0.0847167677630889,0.664702232236911
2025-01-20 15:00:00,0.749759,0.848773,0.754696,NA,0.167082585320436,0.0913490675212663,0.663346932478734
2025-01-20 16:00:00,0.754481,0.83021,0.755307,NA,0.15003402229976,0.0947531729746728,0.660553827025327
2025-01-20 17:00:00,0.754277,0.830153,0.750125,NA,0.154316108556419,0.0893014444835195,0.660823555516481
2025-01-20 18:00:00,0.736944,0.808688,0.745045,NA,0.134342707003189,0.0893141136911864,0.655730886308814
2025-01-20 19:00:00,0.748525,0.80785,0.751788,NA,0.127522357275978,0.0826088073586815,0.669179192641319
2025-01-20 20:00:00,0.766147,0.835135,0.762389,NA,0.153452399765559,0.0827704699048531,0.679618530095147
2025-01-20 21:00:00,0.760372,0.810066,0.780999,NA,0.128352275856639,0.070909735029129,0.710089264970871
2025-01-20 22:00:00,0.772059,0.800254,0.800345,NA,0.108686178365602,0.0731579168107709,0.727187083189229
2025-01-20 23:00:00,0.773823,0.843342,0.833519,NA,0.145499778965865,0.0924754985724066,0.741043501427593
2025-01-21,0.822199,0.914575,0.855963,NA,0.212857837337677,0.101974061808788,0.753988938191212
2025-01-21 01:00:00,0.820536,0.882385,0.870516,NA,0.181495481006473,0.109230411164375,0.761285588835625
