local_timestamp,epoch,datetime,node_file_id,co_wrk_aux,temp,rh,pressure,pm2_5,no2_wrk_aux,no_wrk_aux,o3_wrk_aux,co2_raw,co_corrected,node_id
2022-03-01 20:00:00,1646193600.0,2022-03-02 04:00:00,2659779,0.7055400000000001,,,,,-0.04696,0.21387,-0.04501,,,250
2022-03-01 21:00:00,1646197200.0,2022-03-02 05:00:00,2659835,0.9810800000000001,,,,,-0.0468,0.21643999999999997,-0.007800000000000001,,,250
2022-03-03 17:00:00,1646355600.0,2022-03-04 01:00:00,2659727,1.86037,,,,,-0.028770000000000004,0.10812,0.030459999999999987,569.07808,,250
2022-03-03 18:00:00,1646359200.0,2022-03-04 02:00:00,2659836,0.33106,,,,,-0.0013799999999999923,0.06833,0.025219999999999965,541.07203,,250
2022-03-03 19:00:00,1646362800.0,2022-03-04 03:00:00,2659767,0.22321000000000002,,,,,0.003260000000000013,0.06305,0.02573000000000003,538.04735,,250
2022-03-03 20:00:00,1646366400.0,2022-03-04 04:00:00,2659785,0.19223,,,,,0.006019999999999998,0.05928,0.02590999999999999,546.9573,,250
2022-03-03 21:00:00,1646370000.0,2022-03-04 05:00:00,2659729,0.14819,,,,,0.005449999999999955,0.05682000000000004,0.024109999999999965,535.85064,,250
2022-03-03 22:00:00,1646373600.0,2022-03-04 06:00:00,2659732,0.12962,,,,,0.0047699999999999965,0.054869999999999974,0.022790000000000032,535.10347,,250
2022-03-03 23:00:00,1646377200.0,2022-03-04 07:00:00,2659823,0.16777999999999998,,,,,0.00659000000000004,0.05297999999999997,0.023909999999999987,551.59781,,250
2022-03-04 00:00:00,1646380800.0,2022-03-04 08:00:00,2659815,0.17708000000000002,,,,,0.00877,0.051649999999999974,0.025349999999999984,555.40695,,250
2022-03-04 01:00:00,1646384400.0,2022-03-04 09:00:00,2659744,0.14159000000000005,,,,,0.008869999999999989,0.050819999999999976,0.02571000000000001,542.0292,,250
2022-03-04 02:00:00,1646388000.0,2022-03-04 10:00:00,2659784,0.13008000000000003,,,,,0.008779999999999955,0.04951,0.025550000000000017,538.07821,,250
2022-03-04 03:00:00,1646391600.0,2022-03-04 11:00:00,2659728,0.11845999999999995,,,,,0.008279999999999954,0.04842999999999997,0.02429999999999999,538.20164,,250
2022-03-04 04:00:00,1646395200.0,2022-03-04 12:00:00,2659704,0.10307999999999995,,,,,0.007640000000000036,0.04805999999999999,0.02298,536.09762,,250
2022-03-04 05:00:00,1646398800.0,2022-03-04 13:00:00,2659838,0.10327999999999998,,,,,0.00827,0.04743000000000003,0.02431,531.35566,,250
2022-03-04 06:00:00,1646402400.0,2022-03-04 14:00:00,2659722,0.09187000000000001,,,,,0.009130000000000027,0.047870000000000024,0.024899999999999978,523.60037,,250
2022-03-04 07:00:00,1646406000.0,2022-03-04 15:00:00,2659715,0.10744000000000004,,,,,0.009330000000000005,0.04689000000000004,0.024749999999999994,530.14753,,250
2022-03-04 08:00:00,1646409600.0,2022-03-04 16:00:00,2659777,0.15493999999999997,,,,,0.01049,0.047660000000000036,0.025490000000000013,516.86526,,250
2022-03-04 09:00:00,1646413200.0,2022-03-04 17:00:00,2659706,0.10092999999999996,,,,,0.010189999999999977,0.04670000000000002,0.024019999999999986,519.8978,,250
2022-03-04 10:00:00,1646416800.0,2022-03-04 18:00:00,2659740,0.11621000000000004,,,,,0.009780000000000011,0.04692000000000002,0.022540000000000004,589.61005,,250
2022-03-04 11:00:00,1646420400.0,2022-03-04 19:00:00,2659709,0.11044999999999999,,,,,0.009429999999999994,0.04658000000000001,0.02245999999999998,538.72828,,250
2022-03-04 12:00:00,1646424000.0,2022-03-04 20:00:00,2659766,0.09741,,,,,0.009539999999999993,0.04554999999999998,0.02363000000000004,543.41846,,250
2022-03-04 13:00:00,1646427600.0,2022-03-04 21:00:00,2659686,0.09038000000000007,,,,,0.009600000000000053,0.045509999999999995,0.02482000000000001,547.5,,250
2022-03-04 14:00:00,1646431200.0,2022-03-04 22:00:00,2659756,0.08014999999999994,,,,,0.008940000000000003,0.04543999999999998,0.02567999999999998,546.91097,,250
2022-03-04 15:00:00,1646434800.0,2022-03-04 23:00:00,2659811,0.06983,,,,,0.008860000000000035,0.04448000000000002,0.026590000000000003,527.6287,,250
2022-03-04 16:00:00,1646438400.0,2022-03-05 00:00:00,2659713,0.052749999999999964,,,,,0.007230000000000014,0.045479999999999965,0.0252,507.60219,,250
2022-03-04 17:00:00,1646442000.0,2022-03-05 01:00:00,2659688,0.06703000000000003,,,,,0.008459999999999968,0.04353000000000001,0.026739999999999986,514.48446,,250
2022-03-04 18:00:00,1646445600.0,2022-03-05 02:00:00,2659724,0.06741999999999998,,,,,0.00934999999999997,0.04132999999999998,0.028350000000000042,515.05128,,250
2022-03-04 19:00:00,1646449200.0,2022-03-05 03:00:00,2659708,0.08274999999999993,,,,,0.00989000000000001,0.04060999999999998,0.02899999999999997,515.70584,,250
2022-03-04 20:00:00,1646452800.0,2022-03-05 04:00:00,2659757,0.07932,,,,,0.010070000000000023,0.04004000000000002,0.02915000000000001,518.70018,,250
2022-03-04 21:00:00,1646456400.0,2022-03-05 05:00:00,2659791,0.08097000000000004,,,,,0.010209999999999997,0.04000999999999999,0.029270000000000018,521.76782,,250
2022-03-04 22:00:00,1646460000.0,2022-03-05 06:00:00,2659795,0.07883000000000001,,,,,0.010090000000000043,0.03999999999999998,0.02893000000000001,518.02852,,250
2022-03-04 23:00:00,1646463600.0,2022-03-05 07:00:00,2659702,0.08488000000000001,,,,,0.010099999999999998,0.0398,0.029459999999999986,516.07445,,250
2022-03-05 00:00:00,1646467200.0,2022-03-05 08:00:00,2659703,0.09810999999999998,,,,,0.011059999999999959,0.039080000000000004,0.029909999999999992,520.46344,,250
2022-03-05 01:00:00,1646470800.0,2022-03-05 09:00:00,2659805,0.08356000000000002,,,,,0.010180000000000022,0.03969,0.02853,519.01971,,250
2022-03-05 02:00:00,1646474400.0,2022-03-05 10:00:00,2659736,0.08076000000000005,,,,,0.009830000000000005,0.040190000000000003,0.02693000000000001,524.60475,,250
2022-03-05 03:00:00,1646478000.0,2022-03-05 11:00:00,2659824,0.07564999999999994,,,,,0.009250000000000036,0.04053000000000001,0.026090000000000002,523.33181,,250
2022-03-05 04:00:00,1646481600.0,2022-03-05 12:00:00,2659806,0.07458000000000004,,,,,0.008950000000000014,0.040569999999999995,0.025880000000000014,523.54526,,250
2022-03-05 05:00:00,1646485200.0,2022-03-05 13:00:00,2659747,0.06835000000000002,,,,,0.008890000000000009,0.040549999999999975,0.02595000000000003,521.43144,,250
2022-03-05 06:00:00,1646488800.0,2022-03-05 14:00:00,2659712,0.06459000000000004,,,,,0.008900000000000019,0.04032000000000002,0.02587999999999996,519.66654,,250
2022-03-05 07:00:00,1646492400.0,2022-03-05 15:00:00,2659711,0.06791999999999998,,,,,0.009209999999999996,0.039970000000000006,0.025890000000000024,522.23084,,250
2022-03-05 08:00:00,1646496000.0,2022-03-05 16:00:00,2659682,0.06914999999999999,,,,,0.009170000000000011,0.03988999999999998,0.02621000000000001,521.82325,,250
2022-03-05 09:00:00,1646499600.0,2022-03-05 17:00:00,2659719,0.06901000000000002,,,,,0.008929999999999993,0.03939999999999999,0.026139999999999997,520.3073,,250
2022-03-05 10:00:00,1646503200.0,2022-03-05 18:00:00,2659746,0.07155,,,,,0.008650000000000047,0.039470000000000005,0.025829999999999964,522.06709,,250
2022-03-05 11:00:00,1646506800.0,2022-03-05 19:00:00,2659787,0.07148000000000004,,,,,0.008879999999999999,0.03875999999999996,0.026039999999999952,517.25594,,250
2022-03-05 12:00:00,1646510400.0,2022-03-05 20:00:00,2659831,0.07325999999999999,,,,,0.008510000000000018,0.03914000000000001,0.026229999999999976,518.41993,,250
2022-03-05 13:00:00,1646514000.0,2022-03-05 21:00:00,2659731,0.06719999999999998,,,,,0.007950000000000013,0.03952,0.026079999999999992,521.68757,,250
2022-03-05 14:00:00,1646517600.0,2022-03-05 22:00:00,2659829,0.07146000000000008,,,,,0.007910000000000028,0.03937999999999997,0.026050000000000018,520.18227,,250
2022-03-05 15:00:00,1646521200.0,2022-03-05 23:00:00,2659804,0.06932000000000005,,,,,0.008349999999999969,0.03876000000000002,0.02642,525.9841,,250
2022-03-05 16:00:00,1646524800.0,2022-03-06 00:00:00,2659705,0.07311000000000001,,,,,0.009629999999999972,0.03746000000000005,0.02727999999999997,522.95531,,250
2022-03-05 17:00:00,1646528400.0,2022-03-06 01:00:00,2659718,0.07773999999999998,,,,,0.010069999999999968,0.03708,0.02739999999999998,519.46569,,250
2022-03-05 18:00:00,1646532000.0,2022-03-06 02:00:00,2659687,0.09123999999999999,,,,,0.01038,0.03708,0.026719999999999966,522.62029,,250
2022-03-05 19:00:00,1646535600.0,2022-03-06 03:00:00,2659776,0.10572999999999999,,,,,0.010629999999999973,0.037129999999999996,0.0257,535.16161,,250
2022-03-05 20:00:00,1646539200.0,2022-03-06 04:00:00,2659730,0.10432000000000002,,,,,0.010100000000000053,0.037709999999999966,0.025019999999999987,534.13663,,250
2022-03-05 21:00:00,1646542800.0,2022-03-06 05:00:00,2659742,0.08592999999999995,,,,,0.009450000000000014,0.037970000000000004,0.024359999999999993,530.17821,,250
2022-03-05 22:00:00,1646546400.0,2022-03-06 06:00:00,2659773,0.08635000000000004,,,,,0.00927,0.03808,0.024619999999999975,530.20693,,250
2022-03-05 23:00:00,1646550000.0,2022-03-06 07:00:00,2659827,0.08209,,,,,0.009330000000000005,0.03798999999999997,0.024560000000000026,529.88135,,250
2022-03-06 00:00:00,1646553600.0,2022-03-06 08:00:00,2659745,0.07839000000000002,,,,,0.009429999999999994,0.037939999999999974,0.025150000000000006,524.52907,,250
2022-03-06 01:00:00,1646557200.0,2022-03-06 09:00:00,2659801,0.08292,,,,,0.009489999999999998,0.03773000000000004,0.024970000000000048,523.71773,,250
2022-03-06 02:00:00,1646560800.0,2022-03-06 10:00:00,2659685,0.07386000000000004,,,,,0.009279999999999955,0.03808,0.024839999999999973,522.017,,250
2022-03-06 03:00:00,1646564400.0,2022-03-06 11:00:00,2659834,0.07316,,,,,0.009599999999999997,0.03814000000000001,0.024719999999999964,522.94544,,250
2022-03-06 04:00:00,1646568000.0,2022-03-06 12:00:00,2659772,0.07550999999999997,,,,,0.009450000000000014,0.037849999999999995,0.02409,526.2532,,250
2022-03-06 05:00:00,1646571600.0,2022-03-06 13:00:00,2659716,0.06778999999999996,,,,,0.009199999999999986,0.03788999999999998,0.023150000000000004,527.37993,,250
2022-03-06 06:00:00,1646575200.0,2022-03-06 14:00:00,2659769,0.06914000000000003,,,,,0.009340000000000015,0.03788999999999998,0.023170000000000024,530.70384,,250
2022-03-06 07:00:00,1646578800.0,2022-03-06 15:00:00,2659700,0.07512999999999997,,,,,0.009880000000000055,0.03760000000000002,0.02321000000000001,538.51389,,250
2022-03-06 08:00:00,1646582400.0,2022-03-06 16:00:00,2659775,0.09608,,,,,0.010830000000000006,0.03731000000000001,0.024619999999999975,536.40184,,250
2022-03-06 09:00:00,1646586000.0,2022-03-06 17:00:00,2659725,0.10664999999999997,,,,,0.011560000000000015,0.03693000000000002,0.026160000000000017,536.62628,,250
2022-03-06 10:00:00,1646589600.0,2022-03-06 18:00:00,2659714,0.11713999999999997,,,,,0.011909999999999976,0.03727999999999998,0.02621000000000001,544.92267,,250
2022-03-06 11:00:00,1646593200.0,2022-03-06 19:00:00,2659798,0.12206999999999996,,,,,0.01197999999999999,0.03731000000000001,0.02643000000000001,547.36947,,250
2022-03-06 12:00:00,1646596800.0,2022-03-06 20:00:00,2659808,0.11048999999999998,,,,,0.011279999999999957,0.03806000000000004,0.026010000000000033,541.86168,,250
2022-03-06 13:00:00,1646600400.0,2022-03-06 21:00:00,2659817,0.09697,,,,,0.010699999999999987,0.03815999999999997,0.026260000000000006,535.5351,,250
2022-03-06 14:00:00,1646604000.0,2022-03-06 22:00:00,2659734,0.08897,,,,,0.011230000000000018,0.037380000000000024,0.027579999999999993,527.78942,,250
2022-03-06 15:00:00,1646607600.0,2022-03-06 23:00:00,2659691,0.08025999999999994,,,,,0.01050000000000001,0.037880000000000025,0.026969999999999994,526.98537,,250
2022-03-06 16:00:00,1646611200.0,2022-03-07 00:00:00,2659778,0.07884999999999998,,,,,0.010560000000000014,0.03778999999999999,0.026519999999999988,526.3,,250
2022-03-06 17:00:00,1646614800.0,2022-03-07 01:00:00,2659799,0.07816000000000001,,,,,0.010630000000000028,0.03805000000000003,0.026229999999999976,525.87404,,250
2022-03-06 18:00:00,1646618400.0,2022-03-07 02:00:00,2659699,0.10035999999999995,,,,,0.010259999999999991,0.03810999999999998,0.026090000000000002,522.60384,,250
2022-03-06 19:00:00,1646622000.0,2022-03-07 03:00:00,2659754,0.07846999999999998,,,,,0.009489999999999998,0.038970000000000005,0.02518999999999999,527.47949,,250
2022-03-06 20:00:00,1646625600.0,2022-03-07 04:00:00,2659802,0.06881999999999999,,,,,0.008489999999999998,0.039549999999999974,0.024009999999999976,529.19033,,250
2022-03-06 21:00:00,1646629200.0,2022-03-07 05:00:00,2659755,0.07583000000000006,,,,,0.008670000000000011,0.039130000000000054,0.023830000000000018,534.52779,,250
2022-03-06 22:00:00,1646632800.0,2022-03-07 06:00:00,2659701,0.07592999999999994,,,,,0.008890000000000009,0.03869,0.02427999999999997,534.24909,,250
2022-03-06 23:00:00,1646636400.0,2022-03-07 07:00:00,2659749,0.07262999999999997,,,,,0.008349999999999969,0.03871999999999998,0.023550000000000015,533.38245,,250
2022-03-07 00:00:00,1646640000.0,2022-03-07 08:00:00,2659764,0.06501000000000001,,,,,0.008979999999999988,0.03791,0.02393999999999996,533.97751,,250
2022-03-07 01:00:00,1646643600.0,2022-03-07 09:00:00,2659832,0.06744999999999995,,,,,0.009790000000000021,0.036829999999999974,0.02461000000000002,537.83803,,250
