mos_into_deployment,R^2,RMSE,MBE,Median_Bias_Error,residual_kurtosis,residual_skewness
0,1,0,0,0,NA,NA
1,1,0,0,0,NA,NA
2,1,0,0,0,NA,NA
3,1,0,0,0,NA,NA
4,1,0,0,0,NA,NA
5,1,0,0,0,NA,NA
6,1,0,0,0,NA,NA
7,1,0,0,0,NA,NA
8,1,0,0,0,NA,NA
9,1,0,0,0,NA,NA
10,1,0,0,0,NA,NA
11,1,0,0,0,NA,NA
12,0.14191746530746183,0.08278775793252617,0.04363741353340794,0.04245428590377241,3.6729923896845937,0.10212511860712266
13,0.0369849882437345,0.10541951331123613,0.04609529245134789,0.04421520547088584,10.139082246495633,-1.0826234613239119
14,0.0020931454335601455,0.11935851678410407,0.05403816235022129,0.04727189689431331,5.896195543873382,0.5213075307333135
15,0.005163360905555176,0.15256005583610732,0.006855754155600414,0.024781225733062462,5.40285603523514,-0.898045052860595
16,2.09581388771372e-4,0.17610362268323387,0.031012791625014375,0.02155939967090094,7.412201665026325,0.3677723611078851
17,9.882580095805934e-4,0.19539048268787976,0.0160312237493564,0.006992960721983452,6.321744200715252,-0.04413991996888386
18,0.02928798256424465,0.12399667238578414,0.008920234761618665,0.012826872072983247,11.419386360254313,-0.9656393476706728
19,0.001010435685637047,0.11174813598785417,0.0026573401800488116,0.00151629666014369,9.726951146034484,0.033121959102864154
20,1.4304958687245929e-4,0.10460517157475652,-0.006907988414687993,-0.004657981406748446,7.774339746354506,-0.38603789331870303
21,0.0024914638978059144,0.11363795622555195,0.03967171263618667,0.039182436633202505,19.952378131154553,2.1812885318431374
22,0.04962226169108967,0.1107521114145233,0.041090134696044556,0.0441052268454909,7.077566862175663,0.4556924429943881
23,8.197203073312579e-4,0.15382312677599702,-0.0265585807487011,0.0076722718993315064,9.156881212003704,-1.0663893474852997
24,0.11602273064873746,0.10533519126365462,0.06842982082163994,0.0643646180387977,3.6701575274095513,0.28273299305311256
25,0.19910718190960225,0.12749000639057673,0.09277468886846818,0.09139983893501695,6.641511765857403,0.05435924964093652
26,0.05219807906751423,0.1323983122665893,0.08457987101324099,0.07475200153604014,4.806748954647825,0.5882435539639695
27,0.07945997368715085,0.1665623841625099,0.06363768598151542,0.06535533326627753,6.333169321758364,-0.6262014246616486
28,0.001936683830859384,0.2099879020008109,0.07450400813599285,0.06758642488733162,6.376222093030098,0.5562263104954019
29,0.016624546132129527,0.21741775611523684,0.04605651629455892,0.0527529135371797,5.334620638667244,-0.48051001381382785
30,0.012460788599800864,0.18888085777329877,0.08413316949210221,0.072346497337154,7.791727260164868,0.9314445801509279
31,0.019093415228112476,0.11509936323500815,0.036943658261518166,0.033683558166936994,6.733140631121133,0.16950172990985765
32,0.021193600299607616,0.10839063636389308,0.027587363996014833,0.03107063396676915,9.004815845302696,0.15909009458731663
33,0.054543381034611184,0.08256404895682434,0.032663090311342145,0.025935004591279634,7.084170454269771,1.0188153618250144
34,0.15920443422350233,0.085340143351699,0.022151685363846187,0.022495400246764635,5.8820157334228425,0.2660224442454778
35,0.2458618511549789,0.06646211890384363,0.025735908214420095,0.025947052293410842,4.707702391932219,-0.09806418220731149
