"","date","sensor","value","year","season","from_sn_start"
"87",2022-07-13 07:00:00,"aqs",NA,2022,"Summer",3654000
"88",2022-07-13 07:00:00,"beaco2n",NA,2022,"Summer",3654000
"89",2022-07-13 08:00:00,"aqs",NA,2022,"Summer",3657600
"90",2022-07-13 08:00:00,"beaco2n",NA,2022,"Summer",3657600
"91",2022-07-13 09:00:00,"aqs",NA,2022,"Summer",3661200
"92",2022-07-13 09:00:00,"beaco2n",NA,2022,"Summer",3661200
"93",2022-07-13 10:00:00,"aqs",NA,2022,"Summer",3664800
"94",2022-07-13 10:00:00,"beaco2n",NA,2022,"Summer",3664800
"95",2022-07-13 11:00:00,"aqs",NA,2022,"Summer",3668400
"96",2022-07-13 11:00:00,"beaco2n",NA,2022,"Summer",3668400
"97",2022-07-13 12:00:00,"aqs",NA,2022,"Summer",3672000
"98",2022-07-13 12:00:00,"beaco2n",NA,2022,"Summer",3672000
"99",2022-07-13 13:00:00,"aqs",NA,2022,"Summer",3675600
"100",2022-07-13 13:00:00,"beaco2n",NA,2022,"Summer",3675600
"101",2022-07-13 14:00:00,"aqs",NA,2022,"Summer",3679200
"102",2022-07-13 14:00:00,"beaco2n",NA,2022,"Summer",3679200
"103",2022-07-13 15:00:00,"aqs",NA,2022,"Summer",3682800
"104",2022-07-13 15:00:00,"beaco2n",NA,2022,"Summer",3682800
"105",2022-07-13 16:00:00,"aqs",NA,2022,"Summer",3686400
"106",2022-07-13 16:00:00,"beaco2n",NA,2022,"Summer",3686400
"107",2022-07-13 17:00:00,"aqs",NA,2022,"Summer",3690000
"108",2022-07-13 17:00:00,"beaco2n",NA,2022,"Summer",3690000
"109",2022-07-13 18:00:00,"aqs",NA,2022,"Summer",3693600
"110",2022-07-13 18:00:00,"beaco2n",NA,2022,"Summer",3693600
"111",2022-07-13 19:00:00,"aqs",NA,2022,"Summer",3697200
"112",2022-07-13 19:00:00,"beaco2n",NA,2022,"Summer",3697200
"113",2022-07-13 20:00:00,"aqs",NA,2022,"Summer",3700800
"114",2022-07-13 20:00:00,"beaco2n",NA,2022,"Summer",3700800
"115",2022-07-13 21:00:00,"aqs",NA,2022,"Summer",3704400
"116",2022-07-13 21:00:00,"beaco2n",NA,2022,"Summer",3704400
"117",2022-07-13 22:00:00,"aqs",NA,2022,"Summer",3708000
"118",2022-07-13 22:00:00,"beaco2n",NA,2022,"Summer",3708000
"119",2022-07-13 23:00:00,"aqs",NA,2022,"Summer",3711600
"120",2022-07-13 23:00:00,"beaco2n",NA,2022,"Summer",3711600
"121",2022-07-14,"aqs",NA,2022,"Summer",3715200
"122",2022-07-14,"beaco2n",NA,2022,"Summer",3715200
"123",2022-07-14 01:00:00,"aqs",NA,2022,"Summer",3718800
"124",2022-07-14 01:00:00,"beaco2n",NA,2022,"Summer",3718800
"125",2022-07-14 02:00:00,"aqs",NA,2022,"Summer",3722400
"126",2022-07-14 02:00:00,"beaco2n",NA,2022,"Summer",3722400
"127",2022-07-14 03:00:00,"aqs",NA,2022,"Summer",3726000
"128",2022-07-14 03:00:00,"beaco2n",NA,2022,"Summer",3726000
"129",2022-07-14 04:00:00,"aqs",NA,2022,"Summer",3729600
"130",2022-07-14 04:00:00,"beaco2n",NA,2022,"Summer",3729600
"131",2022-07-14 05:00:00,"aqs",NA,2022,"Summer",3733200
"132",2022-07-14 05:00:00,"beaco2n",NA,2022,"Summer",3733200
"133",2022-07-14 06:00:00,"aqs",NA,2022,"Summer",3736800
"134",2022-07-14 06:00:00,"beaco2n",NA,2022,"Summer",3736800
"135",2022-07-14 07:00:00,"aqs",NA,2022,"Summer",3740400
"136",2022-07-14 07:00:00,"beaco2n",NA,2022,"Summer",3740400
"137",2022-07-14 08:00:00,"aqs",NA,2022,"Summer",3744000
"138",2022-07-14 08:00:00,"beaco2n",NA,2022,"Summer",3744000
"139",2022-07-14 09:00:00,"aqs",NA,2022,"Summer",3747600
"140",2022-07-14 09:00:00,"beaco2n",NA,2022,"Summer",3747600
"141",2022-07-14 10:00:00,"aqs",NA,2022,"Summer",3751200
"142",2022-07-14 10:00:00,"beaco2n",NA,2022,"Summer",3751200
"143",2022-07-14 11:00:00,"aqs",NA,2022,"Summer",3754800
"144",2022-07-14 11:00:00,"beaco2n",NA,2022,"Summer",3754800
"145",2022-07-14 12:00:00,"aqs",NA,2022,"Summer",3758400
"146",2022-07-14 12:00:00,"beaco2n",NA,2022,"Summer",3758400
"147",2022-07-14 13:00:00,"aqs",NA,2022,"Summer",3762000
"148",2022-07-14 13:00:00,"beaco2n",NA,2022,"Summer",3762000
"149",2022-07-14 14:00:00,"aqs",NA,2022,"Summer",3765600
"150",2022-07-14 14:00:00,"beaco2n",NA,2022,"Summer",3765600
"151",2022-07-14 15:00:00,"aqs",NA,2022,"Summer",3769200
"152",2022-07-14 15:00:00,"beaco2n",NA,2022,"Summer",3769200
"153",2022-07-14 16:00:00,"aqs",NA,2022,"Summer",3772800
"154",2022-07-14 16:00:00,"beaco2n",NA,2022,"Summer",3772800
"155",2022-07-14 17:00:00,"aqs",NA,2022,"Summer",3776400
"156",2022-07-14 17:00:00,"beaco2n",NA,2022,"Summer",3776400
"157",2022-07-14 19:00:00,"aqs",NA,2022,"Summer",3783600
"158",2022-07-14 19:00:00,"beaco2n",NA,2022,"Summer",3783600
"159",2022-07-14 20:00:00,"aqs",NA,2022,"Summer",3787200
"160",2022-07-14 20:00:00,"beaco2n",NA,2022,"Summer",3787200
"161",2022-07-14 21:00:00,"aqs",NA,2022,"Summer",3790800
"162",2022-07-14 21:00:00,"beaco2n",NA,2022,"Summer",3790800
"163",2022-07-14 22:00:00,"aqs",NA,2022,"Summer",3794400
"164",2022-07-14 22:00:00,"beaco2n",NA,2022,"Summer",3794400
"165",2022-07-14 23:00:00,"aqs",NA,2022,"Summer",3798000
"166",2022-07-14 23:00:00,"beaco2n",NA,2022,"Summer",3798000
