"","x","m","r"
"1",0.09001,7.78455508821875e-07,0.661739428809885
"2",0.103588330589953,0.000972982102675081,0.106226243862512
"3",0.117166661179907,0.0401490373926125,0.0843247003237973
"4",0.13074499176986,0.187987613094699,0.132583522918909
"5",0.144323322359813,0.244340544538149,0.0151260797665004
"6",0.157901652949767,0.299252320428115,2.43183966637818e-08
"7",0.17147998353972,0.1447214955409,0
"8",0.185058314129674,0.0222000658775903,0
"9",0.198636644719627,0.0204917256255173,0
"10",0.21221497530958,0.00423324704650011,0
"11",0.225793305899534,2.6150383936835e-05,0
"12",0.239371636489487,3.19873444534181e-09,6.48423742592231e-18
"13",0.25294996707944,8.72198877219076e-15,2.62014838595265e-17
"14",0.266528297669394,0,0
"15",0.280106628259347,7.61751392385375e-13,0
"16",0.293684958849301,8.06876611301814e-08,6.81052694701594e-18
"17",0.307263289439254,0.000185529625195037,1.25274560886659e-18
"18",0.320841620029207,0.00911790697329123,3.65584776191008e-18
"19",0.334419950619161,0.00916992129014313,0
"20",0.347998281209114,0.000195294473360012,5.91312286226622e-19
"21",0.361576611799067,8.48628480026634e-08,2.31911153699488e-17
"22",0.375154942389021,7.20756903035459e-13,2.77890521503709e-17
"23",0.388733272978974,2.00438072302213e-19,0
"24",0.402311603568927,6.84314627485876e-19,2.51108628371103e-18
"25",0.415889934158881,9.64007837122207e-18,5.45950127615412e-17
"26",0.429468264748834,2.86479006544015e-20,9.44116477824019e-18
"27",0.443046595338788,8.80505396173942e-19,1.67850041110644e-17
"28",0.456624925928741,3.75260181662445e-18,0
"29",0.470203256518694,9.70022802693152e-18,0
"30",0.483781587108648,1.95636960350839e-17,0
"31",0.497359917698601,2.97338776090994e-17,2.77916369583455e-17
"32",0.510938248288554,9.70777765053627e-18,0
"33",0.524516578878508,1.69674032547457e-18,1.11761637724481e-17
"34",0.538094909468461,1.00267652290405e-18,0
"35",0.551673240058415,1.5718883440247e-19,2.08561751809256e-17
"36",0.565251570648368,0,1.14814866217318e-17
"37",0.578829901238321,0,1.97153708808092e-17
"38",0.592408231828275,0,0
"39",0.605986562418228,0,0
"40",0.619564893008181,0,0
"41",0.633143223598135,1.05570380916505e-19,1.41760817919321e-17
"42",0.646721554188088,1.45886076906646e-17,3.55719587500518e-17
"43",0.660299884778041,5.68591920556107e-16,9.75905777712588e-19
"44",0.673878215367995,4.05324430073416e-10,3.88572670652152e-17
"45",0.687456545957948,6.26477939745971e-06,6.56736051205672e-18
"46",0.701034876547902,0.00214337120518625,2.07800854539458e-17
"47",0.714613207137855,0.0148055820111636,0
